Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:54.835,00:05:53.00,1,--,14,0:05:54  ,0:05:53  ,0:05:16  ,182.578125,191.0,91.27000122070314,133.0,148.0,--,95
2,00:05:40.887,00:05:40.00,1,13,10,0:05:40  ,0:05:40  ,0:05:31  ,180.796875,184.0,96.85000000000001,153.0,161.0,--,110
3,00:05:43.256,00:05:37.00,1,2,--,0:05:43  ,0:05:37  ,0:05:17  ,178.515625,190.0,96.35000000000001,154.0,164.0,--,103
4,00:05:22.473,00:05:21.00,1,--,7,0:05:22  ,0:05:20  ,0:05:14  ,181.09375,190.0,101.42999877929688,161.0,169.0,--,102
5,00:05:41.331,00:05:33.00,1,8,7,0:05:41  ,0:05:33  ,0:05:28  ,178.9375,198.0,98.27999877929688,166.0,172.0,--,121
6,00:00:03.787,00:00:02.00,0.01,--,--,0:07:17  ,0:03:50  ,0:05:46  ,169.5,177.0,96.77999877929688,168.0,169.0,--,1
Summary,00:28:26.569,00:28:27.00,5.01,24,38,0:05:40  ,0:05:40  ,0:05:14  ,180.375,198.0,96.72000122070312,153.0,172.0,--,532
